,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season,year,month,day,hour
6068,1747,13.0,13.0,77.0,24.0,7.0,0.0,0.0,2.0,2015,9,14,19
4418,1492,22.5,22.5,53.0,32.0,3.0,0.0,0.0,1.0,2015,7,7,13
11155,811,11.5,11.5,82.5,15.0,7.0,0.0,0.0,0.0,2016,4,15,16
7751,840,9.0,6.0,82.0,21.0,3.0,0.0,0.0,2.0,2015,11,24,15
4819,703,17.0,17.0,70.5,8.0,7.0,0.0,0.0,1.0,2015,7,24,10
15631,1499,13.5,13.5,65.0,13.0,3.0,0.0,0.0,2.0,2016,10,21,15
4270,2543,27.0,27.0,48.0,20.0,1.0,0.0,0.0,1.0,2015,7,1,9
13487,1380,21.5,21.5,67.0,8.0,2.0,0.0,0.0,1.0,2016,7,22,11
3521,345,12.0,12.0,79.5,14.0,7.0,0.0,1.0,0.0,2015,5,31,1
7250,1079,12.0,12.0,88.0,13.0,2.0,0.0,0.0,2.0,2015,11,3,10
4423,4346,21.5,21.0,45.0,28.5,1.0,0.0,0.0,1.0,2015,7,7,18
9577,95,6.0,4.5,71.0,7.5,1.0,0.0,0.0,3.0,2016,2,9,5
4426,1150,18.0,18.0,49.0,30.0,1.0,0.0,0.0,1.0,2015,7,7,21
4374,2771,22.0,21.0,47.0,26.0,2.0,0.0,1.0,1.0,2015,7,5,17
4577,132,18.0,18.0,80.5,19.5,3.0,0.0,0.0,1.0,2015,7,14,5
3301,1097,16.5,16.5,40.5,16.0,1.0,0.0,0.0,0.0,2015,5,21,21
7565,1046,14.0,14.0,65.0,27.0,2.0,0.0,0.0,2.0,2015,11,16,13
2332,1729,12.0,12.0,58.0,30.0,2.0,0.0,1.0,0.0,2015,4,11,12
15703,1299,14.0,14.0,67.0,14.0,2.0,0.0,0.0,2.0,2016,10,24,15
2502,2873,13.0,13.0,45.5,34.0,1.0,0.0,1.0,0.0,2015,4,18,14
5981,1327,16.5,16.5,72.5,13.0,1.0,0.0,0.0,2.0,2015,9,10,20
4770,2492,20.5,20.5,58.5,19.5,2.0,0.0,0.0,1.0,2015,7,22,9
10647,386,9.0,6.0,87.0,20.0,7.0,0.0,0.0,0.0,2016,3,24,20
3940,1714,25.5,25.5,52.5,29.0,2.0,0.0,0.0,1.0,2015,6,17,15
690,502,4.0,0.0,61.0,18.5,4.0,0.0,1.0,3.0,2015,2,1,19
8127,4091,12.0,12.0,69.5,23.0,2.0,0.0,0.0,3.0,2015,12,10,8
12970,800,17.5,17.5,75.0,24.0,3.0,0.0,0.0,1.0,2016,6,30,22
6686,2486,16.0,16.0,70.0,23.0,2.0,0.0,1.0,2.0,2015,10,10,15
4330,1335,19.5,19.5,75.5,23.0,1.0,0.0,0.0,1.0,2015,7,3,21
3122,545,11.0,11.0,74.5,29.0,7.0,0.0,0.0,0.0,2015,5,14,10
1388,360,5.0,0.5,70.0,25.0,1.0,0.0,0.0,0.0,2015,3,2,22
6145,328,14.0,14.0,82.0,12.0,1.0,0.0,0.0,2.0,2015,9,18,0
6461,130,11.0,11.0,88.0,13.0,1.0,0.0,0.0,2.0,2015,10,1,5
505,216,2.0,-1.0,81.0,10.0,1.0,0.0,1.0,3.0,2015,1,25,2
17379,1316,5.5,3.0,73.5,11.0,2.0,1.0,0.0,3.0,2017,1,2,13
12070,2466,17.0,17.0,52.5,16.0,2.0,0.0,0.0,0.0,2016,5,23,19
15673,744,9.5,8.0,79.0,10.0,2.0,0.0,1.0,2.0,2016,10,23,9
13381,238,20.0,20.0,80.5,10.0,1.0,0.0,0.0,1.0,2016,7,18,1
14449,1515,21.0,21.0,69.0,23.0,2.0,0.0,0.0,1.0,2016,8,31,20
14540,58,21.0,21.0,88.0,13.0,3.0,0.0,0.0,2.0,2016,9,6,4
14324,2247,26.5,26.0,31.5,14.0,1.0,0.0,0.0,1.0,2016,8,26,15
3534,1042,16.0,16.0,77.5,25.5,3.0,0.0,1.0,0.0,2015,5,31,14
1103,109,6.0,2.5,81.0,19.5,3.0,0.0,0.0,3.0,2015,2,19,1
4998,1188,18.0,18.0,49.0,11.0,1.0,0.0,0.0,1.0,2015,7,31,21
12211,2900,18.0,18.0,68.0,18.5,3.0,0.0,1.0,0.0,2016,5,29,16
2659,186,12.0,12.0,91.0,16.0,7.0,0.0,1.0,0.0,2015,4,25,3
13115,780,18.0,18.0,64.0,14.0,1.0,0.0,0.0,1.0,2016,7,6,23
12662,1264,16.5,16.5,72.5,14.0,3.0,0.0,0.0,1.0,2016,6,17,11
2033,341,10.0,7.0,76.0,30.0,2.0,0.0,1.0,0.0,2015,3,29,20
11331,200,7.0,5.0,76.0,12.0,7.0,0.0,1.0,0.0,2016,4,23,0
14019,3178,24.0,24.0,45.5,17.0,1.0,0.0,1.0,1.0,2016,8,13,19
9055,31,4.0,1.0,81.0,14.0,2.0,0.0,0.0,3.0,2016,1,18,4
6749,702,9.0,7.0,82.0,13.0,2.0,0.0,0.0,2.0,2015,10,13,6
11317,1083,10.5,9.0,71.5,25.0,3.0,0.0,0.0,0.0,2016,4,22,10
509,83,2.0,-2.0,87.0,13.0,1.0,0.0,1.0,3.0,2015,1,25,6
3300,1640,17.5,17.5,38.0,19.5,1.0,0.0,0.0,0.0,2015,5,21,20
388,80,-0.5,-0.5,93.0,4.0,2.0,0.0,0.0,3.0,2015,1,20,5
6578,57,16.0,16.0,94.0,8.0,3.0,0.0,0.0,2.0,2015,10,6,2
11401,351,4.0,1.5,87.0,10.0,2.0,0.0,0.0,0.0,2016,4,25,22
7518,303,11.0,11.0,88.0,17.0,7.0,0.0,1.0,2.0,2015,11,14,14
2060,215,12.5,12.5,85.0,40.0,3.0,0.0,0.0,0.0,2015,3,30,23
3129,851,10.0,7.0,88.0,21.0,7.0,0.0,0.0,0.0,2015,5,14,17
9966,721,4.0,1.0,75.0,11.0,2.0,0.0,0.0,3.0,2016,2,25,11
10306,975,9.0,8.0,71.0,8.0,3.0,0.0,0.0,0.0,2016,3,10,15
16035,445,8.5,5.5,68.5,19.0,3.0,0.0,0.0,2.0,2016,11,7,12
11123,4358,11.5,11.5,67.5,7.0,1.0,0.0,0.0,0.0,2016,4,14,8
17025,636,8.0,6.5,87.0,8.0,4.0,0.0,1.0,3.0,2016,12,18,19
15738,134,10.5,10.5,94.0,0.0,3.0,0.0,0.0,2.0,2016,10,26,2
5372,2221,20.5,20.5,51.0,3.0,1.0,0.0,1.0,1.0,2015,8,16,11
12606,81,14.0,14.0,82.0,12.0,1.0,0.0,0.0,1.0,2016,6,15,3
8851,854,11.0,11.0,77.0,26.0,7.0,0.0,1.0,3.0,2016,1,9,16
400,2683,4.0,1.0,78.0,12.0,1.0,0.0,0.0,3.0,2015,1,20,17
2935,946,14.5,14.5,67.5,30.5,2.0,0.0,0.0,0.0,2015,5,6,15
1419,97,4.0,0.0,81.0,19.5,1.0,0.0,0.0,0.0,2015,3,4,5
873,773,6.0,3.5,81.0,11.0,3.0,0.0,0.0,3.0,2015,2,9,10
10132,2000,5.5,1.5,68.0,19.5,2.0,0.0,0.0,0.0,2016,3,3,9
16949,1228,11.0,11.0,85.0,12.0,4.0,0.0,0.0,3.0,2016,12,15,15
16667,462,5.0,2.5,81.0,10.0,1.0,0.0,1.0,3.0,2016,12,3,21
15278,764,12.5,12.5,65.0,10.0,7.0,0.0,0.0,2.0,2016,10,6,22
3557,1204,12.0,12.0,72.0,26.0,7.0,0.0,0.0,1.0,2015,6,1,13
13539,3607,24.0,24.0,54.0,21.0,3.0,0.0,1.0,1.0,2016,7,24,15
4834,160,14.0,14.0,88.0,15.0,7.0,0.0,1.0,1.0,2015,7,25,1
3027,2061,16.5,16.5,57.5,18.0,2.0,0.0,1.0,0.0,2015,5,10,11
12796,62,19.0,19.0,94.0,6.5,7.0,0.0,0.0,1.0,2016,6,23,1
4412,2589,19.0,19.0,66.0,16.0,1.0,0.0,0.0,1.0,2015,7,7,7
11815,61,12.0,12.0,88.0,13.0,4.0,0.0,0.0,0.0,2016,5,13,4
3341,924,13.5,13.5,75.5,21.0,7.0,0.0,1.0,0.0,2015,5,23,13
2110,61,7.0,4.0,93.0,17.5,7.0,0.0,0.0,0.0,2015,4,2,5
9917,827,7.0,4.0,71.0,17.0,2.0,0.0,0.0,3.0,2016,2,23,10
3347,1616,14.0,14.0,61.0,16.0,1.0,0.0,1.0,0.0,2015,5,23,19
11905,683,14.0,14.0,59.0,6.0,1.0,0.0,0.0,0.0,2016,5,16,22
5857,1994,16.0,16.0,52.0,14.0,4.0,0.0,1.0,2.0,2015,9,5,16
6055,574,13.0,13.0,94.0,10.0,7.0,0.0,0.0,2.0,2015,9,14,6
14392,1949,20.0,20.0,64.0,10.0,2.0,1.0,0.0,1.0,2016,8,29,11
4640,1800,20.0,20.0,64.0,29.5,1.0,0.0,0.0,1.0,2015,7,16,20
7594,2713,16.0,16.0,68.0,37.0,3.0,0.0,0.0,2.0,2015,11,17,18
15571,44,11.0,11.0,72.0,20.5,1.0,0.0,0.0,2.0,2016,10,19,3
3420,1637,16.5,16.5,55.5,18.0,1.0,0.0,0.0,0.0,2015,5,26,20
15105,4152,19.0,19.0,46.0,26.0,2.0,0.0,0.0,2.0,2016,9,29,17
1367,49,5.0,1.0,78.5,19.0,1.0,0.0,0.0,0.0,2015,3,2,1
10345,103,5.0,5.0,93.0,2.0,3.0,0.0,1.0,0.0,2016,3,12,6
12737,889,20.0,20.0,78.0,20.0,3.0,0.0,0.0,1.0,2016,6,20,14
16106,872,10.5,9.0,74.0,19.5,2.0,0.0,0.0,2.0,2016,11,10,11
12013,1493,16.0,16.0,72.0,25.0,3.0,0.0,1.0,0.0,2016,5,21,10
2425,2200,18.5,18.5,50.5,12.0,1.0,0.0,0.0,0.0,2015,4,15,9
10416,103,3.0,2.5,90.0,5.0,4.0,0.0,0.0,0.0,2016,3,15,5
15612,1123,11.5,11.5,79.5,13.0,2.0,0.0,0.0,2.0,2016,10,20,20
5702,112,16.0,16.0,88.0,5.0,7.0,0.0,1.0,1.0,2015,8,30,5
14013,3437,22.0,22.0,61.0,20.0,4.0,0.0,1.0,1.0,2016,8,13,13
6459,65,12.0,12.0,82.0,6.5,1.0,0.0,0.0,2.0,2015,10,1,3
12465,793,13.0,13.0,85.0,9.0,3.0,0.0,0.0,1.0,2016,6,9,6
17287,1141,5.0,4.5,87.0,4.0,1.0,0.0,0.0,3.0,2016,12,29,17
13670,210,18.0,18.0,80.5,11.0,4.0,0.0,1.0,1.0,2016,7,30,4
15868,1588,16.5,16.5,70.0,9.0,1.0,0.0,0.0,2.0,2016,10,31,13
12529,882,18.0,18.0,80.5,5.0,7.0,0.0,1.0,1.0,2016,6,11,22
7598,633,12.0,12.0,77.0,20.5,2.0,0.0,0.0,2.0,2015,11,18,6
3763,700,11.0,11.0,67.0,21.0,3.0,0.0,0.0,1.0,2015,6,10,6
17072,2299,6.0,3.5,81.0,13.0,1.0,0.0,0.0,3.0,2016,12,20,18
3450,82,13.0,13.0,65.0,26.0,3.0,0.0,0.0,0.0,2015,5,28,2
8838,119,9.0,6.5,82.0,16.0,7.0,0.0,1.0,3.0,2016,1,9,3
6920,1437,15.0,15.0,55.0,13.0,2.0,0.0,0.0,2.0,2015,10,20,15
3847,2324,19.0,19.0,64.0,16.0,4.0,0.0,1.0,1.0,2015,6,13,18
5237,1689,20.5,20.5,75.5,17.0,2.0,0.0,0.0,1.0,2015,8,10,20
15485,2429,16.0,16.0,68.0,13.0,3.0,0.0,1.0,2.0,2016,10,15,13
14280,2922,29.0,29.5,49.0,13.0,1.0,0.0,0.0,1.0,2016,8,24,19
3814,2489,18.0,18.0,68.0,19.0,1.0,0.0,0.0,1.0,2015,6,12,9
2612,38,8.5,5.5,79.0,18.0,4.0,0.0,0.0,0.0,2015,4,23,4
2989,652,14.0,14.0,82.0,17.0,7.0,0.0,0.0,0.0,2015,5,8,21
10772,1540,13.0,13.0,44.0,20.5,2.0,0.0,0.0,0.0,2016,3,30,16
5833,1970,16.0,16.0,55.0,16.0,3.0,0.0,0.0,2.0,2015,9,4,16
9487,46,11.0,11.0,74.5,16.0,4.0,0.0,0.0,3.0,2016,2,5,4
14457,64,16.0,16.0,77.0,12.0,2.0,0.0,0.0,2.0,2016,9,1,4
8616,153,11.0,11.0,85.0,18.0,7.0,0.0,0.0,3.0,2015,12,30,21
9154,1594,7.0,4.5,73.5,14.0,3.0,0.0,0.0,3.0,2016,1,22,7
9000,479,4.0,0.0,70.0,18.0,1.0,0.0,0.0,3.0,2016,1,15,21
1243,605,6.5,3.0,68.5,20.5,2.0,0.0,0.0,3.0,2015,2,24,21
7630,473,11.5,11.5,91.0,17.0,7.0,0.0,0.0,2.0,2015,11,19,14
11990,1209,17.0,17.0,56.0,25.0,2.0,0.0,0.0,0.0,2016,5,20,11
