Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
2002,0.49,0.38,0.26,0.13,1.27,75,35,8.5,60
2002,0.23,0.18,0.2,0.06,0.68,76,24,8.9,81
2002,0.14,0.11,0.17,0.04,0.46,70,23,8.7,19
2009,0.84,0.35,0.0,0.12,1.31,78,83,7.8,356
2009,0.65,0.4,0.0,0.19,1.24,79,53,7.7,308
2012,0.48,0.24,0.0,0.07,0.79,74,69,7.0,173
2012,0.36,0.28,0.0,0.1,0.74,79,39,6.8,179
2012,0.07,0.03,0.0,0.01,0.11,76,12,6.4,389
2008,0.82,0.51,0.01,0.14,1.48,65,69,7.1,71
2008,0.43,0.51,0.02,0.19,1.14,65,42,6.6,47
2008,0.29,0.28,0.01,0.07,0.65,54,11,7.5,26
2008,0.01,0.01,0.0,0.0,0.03,70,18,6.3,55
2000,0.51,0.35,0.0,0.06,0.92,61,11,6.7,44
2000,0.3,0.2,0.0,0.03,0.53,51,16,4.6,14
2008,0.12,0.52,0.0,0.02,0.66,70,7,6.0,12
2009,0.0,0.01,0.0,0.0,0.01,63,6,5.8,8
2006,0.0,0.25,0.0,0.04,0.3,79,30,8.3,38
2005,0.07,0.06,0.0,0.02,0.15,52,33,6.8,12
2005,0.05,0.01,0.0,0.0,0.06,51,40,6.9,8
2001,0.2,0.15,0.0,0.05,0.4,61,11,5.7,18
2002,0.09,0.02,0.0,0.0,0.11,52,17,6.8,8
2008,0.08,0.0,0.0,0.01,0.08,38,5,3.2,5
2002,0.21,0.17,0.16,0.06,0.59,73,19,5.6,18
2002,0.14,0.04,0.0,0.01,0.19,79,17,9.0,4
2002,0.04,0.01,0.0,0.0,0.05,78,9,7.7,6
2010,0.3,0.64,0.07,0.22,1.23,82,56,7.8,57
2010,0.32,0.42,0.02,0.09,0.85,83,61,8.1,58
2010,0.09,0.22,0.03,0.12,0.46,69,11,7.4,9
2010,0.23,0.15,0.01,0.04,0.42,70,19,6.7,11
2014,0.15,0.36,0.01,0.09,0.61,73,33,4.3,87
2014,0.15,0.25,0.0,0.03,0.42,74,29,4.4,93
2006,0.15,0.12,0.0,0.04,0.3,62,53,8.2,40
2006,0.35,0.01,0.0,0.06,0.42,39,23,4.9,46
2006,0.12,0.04,0.0,0.01,0.17,41,20,7.2,13
2007,0.27,0.08,0.0,0.07,0.41,55,31,7.1,14
2009,0.36,0.11,0.03,0.07,0.57,77,66,8.0,96
2001,0.18,0.05,0.0,0.01,0.24,59,15,6.2,5
2009,0.12,0.07,0.0,0.02,0.21,71,54,6.4,64
2009,0.1,0.06,0.01,0.03,0.19,72,37,7.2,57
2005,0.85,0.76,0.0,0.16,1.77,47,21,6.6,129
2005,0.33,0.1,0.0,0.02,0.44,50,14,5.9,21
2016,0.04,0.08,0.0,0.02,0.14,45,16,5.9,140
2016,0.03,0.02,0.0,0.0,0.05,35,17,5.2,74
2015,0.04,0.0,0.12,0.0,0.17,77,26,8.2,38
2007,0.1,0.01,0.0,0.01,0.13,60,7,8.3,48
2009,0.18,0.01,0.0,0.01,0.21,80,43,8.7,35
2008,0.21,0.01,0.0,0.02,0.24,60,12,5.3,14
2008,0.21,0.0,0.0,0.02,0.23,63,16,4.9,10
2009,0.09,0.02,0.0,0.01,0.12,64,20,6.8,14
2009,0.23,0.14,0.3,0.04,0.7,78,51,8.4,79
2011,0.3,0.15,0.22,0.07,0.74,77,28,6.7,82
2011,0.3,0.12,0.03,0.04,0.49,78,71,6.2,82
2011,0.1,0.06,0.08,0.01,0.24,71,37,7.8,26
2010,0.06,0.05,0.15,0.03,0.29,71,30,7.2,12
2001,2.06,0.56,0.38,0.17,3.17,89,22,9.1,95
1997,0.16,0.11,0.56,0.06,0.89,83,10,8.2,22
2004,0.88,0.34,0.32,0.18,1.71,84,57,9.1,81
2007,0.69,0.04,0.22,0.06,1.01,80,54,7.9,101
2006,0.37,0.3,0.12,0.19,0.99,75,26,8.3,30
2006,0.15,0.12,0.2,0.04,0.51,75,45,8.4,55
2010,0.0,0.01,0.0,0.0,0.02,70,6,8.3,20
2008,0.78,0.43,0.19,0.14,1.54,69,6,8.1,14
2002,0.25,0.19,0.0,0.06,0.5,75,13,7.7,6
2015,0.0,0.01,0.0,0.0,0.01,71,37,7.1,93
2001,0.5,0.19,0.0,0.01,0.7,92,28,9.0,95
2005,0.3,0.02,0.04,0.03,0.39,90,49,9.0,163
2003,0.47,0.17,0.0,0.01,0.65,89,34,9.4,97
2005,0.1,0.03,0.0,0.0,0.13,68,50,7.5,68
2014,0.0,0.07,0.0,0.0,0.08,65,5,5.6,8
2014,0.0,0.05,0.0,0.0,0.06,58,5,7.5,4
2006,0.02,0.0,0.0,0.0,0.02,62,20,6.5,11
2016,0.02,0.0,0.0,0.0,0.03,57,11,7.8,9
2005,0.02,0.02,0.0,0.01,0.04,66,19,5.8,9
2005,0.01,0.0,0.0,0.0,0.01,69,27,3.0,4
2002,0.04,0.03,0.0,0.01,0.07,64,18,7.0,8
2008,0.12,0.0,0.08,0.01,0.22,63,12,6.2,34
2009,0.16,0.05,0.0,0.02,0.24,65,70,6.2,57
2009,0.12,0.05,0.0,0.03,0.2,65,52,6.1,27
2011,0.0,0.03,0.0,0.01,0.03,53,40,4.0,110
2008,0.06,0.01,0.0,0.01,0.07,50,23,6.2,12
2008,0.06,0.01,0.0,0.01,0.08,46,6,7.3,6
2009,0.08,0.01,0.0,0.01,0.1,53,11,6.5,4
2016,0.0,0.02,0.0,0.0,0.02,66,15,8.5,144
2016,0.01,0.01,0.0,0.0,0.03,67,17,6.2,12
2016,0.01,0.0,0.0,0.0,0.01,66,7,7.5,8
2010,0.0,0.02,0.0,0.0,0.03,83,14,8.4,52
2008,0.16,0.03,0.0,0.02,0.21,78,28,6.9,20
2006,0.18,0.02,0.0,0.02,0.22,80,38,7.9,59
