Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
2003.2264,-0.59896356,-0.47021285,-0.1858439,-0.17482698,2.721803,83.00745,9.825901,8.117615,-401.35556
2009.878,-0.13802783,0.9029188,0.3410029,-0.031249005,2.7189288,83.23206,43.69438,8.510959,-309.63348
2009.1296,-0.033419747,-0.4604104,0.04483819,0.06766695,2.487824,81.90181,31.36774,8.575777,-350.33157
2011.3043,0.5305749,0.88891196,0.3422557,0.22776526,2.413787,83.71023,47.126816,8.58077,140.73152
2003.3008,-0.5682489,0.47043175,0.33106023,-0.17575365,2.5795062,82.61616,21.908947,7.7033896,-396.48337
2011.7125,0.81354284,0.7419332,0.23611942,0.31384417,1.5195324,83.66908,18.421669,8.412547,626.54895
2011.7217,1.3728395,0.9309928,0.28075275,0.34235254,2.6350787,83.97268,46.561672,8.6066065,710.00195
2011.7217,1.3824347,0.93939567,0.29370517,0.342138,1.929791,83.41751,45.633762,8.2196045,749.6968
2003.2588,-0.5672743,-0.29716775,0.0016630148,-0.15921924,2.6703694,81.16384,10.2963295,8.589322,-400.38028
2011.662,1.0386509,0.79195076,0.2983221,0.26608256,2.4893613,83.4012,35.70944,8.611367,256.9708
2011.7214,1.3747292,0.90220416,0.32844844,0.3379522,2.5033443,83.94906,45.805775,8.620628,108.927605
2003.2074,-0.6011088,-0.47080794,-0.21732949,-0.18196839,1.8146578,82.872986,9.701271,5.978412,-409.93283
2003.3984,-0.5595527,0.034328554,0.33567452,-0.1751928,2.7605116,83.89518,22.272194,8.402052,-408.48373
2011.1487,1.2802049,0.9367626,0.33998138,0.27025047,2.3145585,83.27296,39.490227,8.596751,-110.4344
2003.211,-0.5922497,-0.4698238,-0.20187734,-0.18058515,2.688925,78.44829,9.89043,7.462323,-408.6088
2003.2112,-0.5997913,-0.46845153,-0.16786326,-0.18172765,2.7341228,83.755325,9.738699,7.705786,-409.032
2011.7217,1.3591999,0.91911656,0.33662003,0.34237528,2.5946784,82.96941,47.10125,8.6228285,619.8185
2003.2074,-0.6014054,-0.4708182,-0.21749233,-0.18196166,2.6230795,83.77989,9.701189,5.827828,-409.92282
2003.223,-0.5799852,-0.46852604,0.103030264,-0.18053368,2.6920743,83.368675,9.890442,6.8025236,-404.98123
2003.4805,-0.59532225,-0.3515739,-0.18316716,-0.18010166,2.6668158,83.810234,10.418297,8.501789,-404.89914
2011.7212,0.98828703,0.900652,0.34065625,0.3384791,2.7197106,84.03788,46.46173,8.615601,733.05756
2011.7112,0.4935493,0.06742141,0.18506965,0.23796211,2.621767,84.02356,40.451424,8.586727,333.47964
2003.5775,-0.39799446,0.7743787,0.34220654,-0.0445006,2.7285504,83.418015,43.640694,8.552713,-404.05563
2009.3635,-0.17505501,0.9017093,0.27598095,-0.015111054,2.7443752,84.01691,36.41769,8.579715,215.15211
2004.7704,-0.45227855,-0.45604596,-0.049578384,-0.124549486,2.2273436,82.55936,10.094776,8.4567795,-405.6263
2010.2444,-0.1798868,-0.093393296,0.25677925,0.25099036,2.7381883,83.81809,23.06376,8.580199,125.47533
2007.2344,-0.5712403,-0.4227501,0.11109896,-0.11592249,2.5449133,79.73042,18.013231,8.586337,-353.00186
2011.72,0.18605548,0.9398034,0.3430228,0.3304282,2.097424,80.25422,48.057446,8.622201,739.338
2003.2103,-0.5992242,-0.47056255,-0.21276404,-0.1802041,2.512803,83.56946,9.745186,6.2461615,-407.71567
2003.2109,-0.59902585,-0.2848594,0.18075204,-0.18083939,2.6105447,83.15442,10.493998,8.240589,-390.29184
