Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
2007.4199,0.23720145,0.12690645,0.028850613,0.044174947,0.44078627,68.68062,26.489054,7.08744,72.42289
2007.6472,0.25374553,0.13147229,0.038119927,0.047632176,0.4354357,69.45061,26.841833,7.1431828,111.60069
2007.4406,0.25545228,0.13807434,0.034227926,0.04963812,0.46539536,69.340416,27.133926,7.1305776,84.48965
2007.596,0.35987428,0.20923166,0.048505418,0.072147325,0.6307533,72.50996,30.00641,7.2858024,178.7976
2007.3953,0.36156246,0.19723172,0.04276153,0.07246892,0.6879497,70.714714,28.03804,7.2197585,91.606834
2007.3726,0.36063972,0.20550925,0.049155664,0.07846572,0.6942468,71.22565,28.93989,7.225789,81.118866
2007.3993,0.25924787,0.13964665,0.029021824,0.047727227,0.4702371,69.27586,26.988716,7.1261706,90.33314
2007.2368,0.34074554,0.19895995,0.04876336,0.07569732,0.69069624,70.76964,29.011969,7.2052097,57.337994
2007.5771,0.62130237,0.39211977,0.12296047,0.122537084,1.2508236,74.789,33.540028,7.3965807,288.40295
2007.3652,0.25078902,0.13570903,0.017805329,0.038945667,0.3883711,70.138466,27.764637,7.1785407,156.21194
2007.4314,0.21476795,0.11219377,0.023020068,0.03719468,0.405634,67.90008,25.655294,7.037367,62.59712
2007.3678,0.25413635,0.13737309,0.018630689,0.04002041,0.39944065,70.10626,27.71612,7.1768494,152.18936
2007.6881,1.0655531,0.6855912,0.24461429,0.22655208,2.0457425,78.097694,37.83505,7.42642,436.76672
2007.6844,0.27237996,0.14690867,0.040253557,0.051882893,0.43477133,70.684616,28.055025,7.2015743,152.65005
2007.4017,0.26528272,0.14307548,0.029659035,0.04890761,0.4777355,69.458305,27.142553,7.1381764,95.570946
2007.4032,0.2511526,0.13549845,0.03006226,0.047191545,0.46129918,69.090416,26.88193,7.113801,81.1694
2007.4027,0.2585962,0.13950953,0.029931923,0.04814092,0.47000617,69.28678,27.023537,7.1268034,88.66341
2007.3335,0.24234939,0.13596135,0.027927423,0.036564115,0.41606182,70.21083,28.486992,7.2214236,171.22798
2007.4312,0.281198,0.15359616,0.037545092,0.055451166,0.5011794,70.13357,27.87431,7.18207,102.38448
2007.4231,0.26553655,0.14457886,0.035392497,0.052112043,0.48142493,69.64449,27.448856,7.149929,89.3543
2007.4069,0.26676705,0.14421089,0.031041862,0.049875762,0.48030472,69.54153,27.244812,7.143546,95.47624
2007.4465,0.22581013,0.11888205,0.026327679,0.04048159,0.42018196,68.30139,26.042597,7.0636706,70.24608
2007.0886,0.90450895,0.6055269,0.26135218,0.20704311,1.8770818,75.49718,37.436855,7.3219833,205.30208
2007.4125,0.25498372,0.13816804,0.032536082,0.049084857,0.4672829,69.270966,27.088312,7.125501,82.16033
2007.4257,0.30758604,0.16826682,0.040816147,0.061882257,0.5632334,70.37491,28.010143,7.197713,97.27766
2007.501,0.26119226,0.14015281,0.037053052,0.05097059,0.4659989,69.59228,27.276941,7.1484375,95.5708
2007.3986,0.26146975,0.14080268,0.028809836,0.04791492,0.47273374,69.32906,27.021893,7.1297107,92.76538
2007.414,0.28433052,0.15420024,0.03293914,0.053334743,0.50215274,70.07384,27.694786,7.1785717,110.67177
2007.3518,0.22381778,0.11736764,0.01626026,0.03581047,0.42088133,67.922585,25.611597,7.037906,69.757545
2007.507,0.24139415,0.1272787,0.031820334,0.044839967,0.43552437,68.900024,26.545725,7.1039166,86.33956
2007.4142,0.27516195,0.14923333,0.032989137,0.05210423,0.4913625,69.82851,27.514553,7.162338,101.56574
2007.4781,0.32392365,0.18536021,0.043084335,0.06697155,0.56626284,71.544334,29.210562,7.2350593,131.89203
2007.4233,0.26310292,0.1432729,0.035458013,0.05181431,0.47859186,69.581,27.40376,7.145723,86.87824
2007.2886,0.35021815,0.20022462,0.04625708,0.076421045,0.690366,70.799416,28.682426,7.2026987,62.153545
