CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
-4.3148355,27.056595,17.68811,-0.13040237,0.48555994,6.9704385,73.94224,2.0253842,18.197277,240.92981,16.476969,276.35187,20.517254,13.089418
7.845471,-11.906886,18.153948,0.041187607,0.46840566,5.568961,91.74857,1.6719078,1.0544355,419.20947,20.591423,448.5045,13.107372,31.048658
-5.629713,28.501467,7.601246,-0.00084775995,0.59354025,6.2124305,97.01813,1.7218386,1.1291854,536.014,18.529049,274.95905,18.98928,19.846952
-3.716039,23.808472,14.597725,0.32451516,0.4701645,5.56911,96.83793,1.7009279,1.0678833,569.86676,20.516903,448.64874,17.960526,31.01695
-3.3865612,-12.174567,14.607901,0.29482114,0.45970482,5.5672636,94.676865,1.6700188,1.0491178,554.1304,20.726091,448.84076,13.7572155,31.074404
-5.5611105,1.6763245,17.09077,-0.18710372,0.6707617,6.9744463,91.80923,1.6713535,1.0547302,497.88126,20.729387,262.54398,19.852205,14.26943
6.469199,19.869778,18.089306,0.01617394,0.45655903,6.938905,92.620056,3.857947,18.442749,245.76373,16.67072,336.46,20.180859,12.954354
-4.7127066,4.887414,17.987638,0.3309355,0.45102775,6.052036,92.66873,2.7923594,17.096968,246.15633,16.460077,394.79205,20.44008,15.017644
-4.091073,32.253532,13.766536,0.050366502,0.48970893,6.5092506,95.62728,1.9688501,9.135752,396.0656,16.55683,323.62524,19.371605,13.982684
-0.23885074,-11.864413,17.841686,0.21400236,0.44564092,5.56961,93.71292,1.670376,1.2010763,243.08186,19.719614,448.40833,11.651549,30.906107
-5.435836,8.561372,15.543845,-0.17170133,0.53291273,6.342824,95.72709,1.7316567,1.0558317,539.6028,20.505625,263.57877,18.461353,22.78753
-5.6476183,11.297288,4.749821,-0.18269745,0.53497696,6.771201,81.77114,1.6833974,1.0515878,585.0558,20.714098,262.74545,19.326574,28.566044
-3.0055578,28.133274,18.0859,0.17819151,0.4627233,5.72092,94.26068,5.6321735,18.578897,239.89908,16.451645,436.17407,20.403316,13.606901
-4.588418,33.60121,6.537636,0.30107042,0.4691024,6.592108,91.55915,5.324919,3.5220978,584.5059,16.870342,296.16666,19.069187,17.35771
-4.958912,0.200545,17.691168,-0.12060886,0.49860722,5.592286,93.46258,1.6715118,1.0516908,535.7958,20.533583,422.15237,7.0580707,30.929434
