fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
7.0874014,0.56863505,0.13595363,2.2342308,0.078540966,21.124228,44.975834,0.99608475,3.4101763,0.63721925,10.395269,5.5795426,1188.8478
8.119194,0.41807073,0.31595537,2.2933257,0.081412785,12.573527,28.44287,0.99591285,3.302973,0.66034526,10.927841,6.088708,1135.8322
7.6120143,0.7864651,0.04858755,2.3547323,0.0850384,7.715101,21.541084,0.9968413,3.385833,0.54850084,9.854818,4.9953456,622.26935
10.948905,0.44748658,0.53663576,5.185086,0.09157581,11.840233,35.47634,0.99908626,3.200983,0.72699463,11.881576,6.329974,528.64435
8.877639,0.4267388,0.34653184,2.1768544,0.08818085,10.53317,31.303667,0.9969845,3.2573009,0.66443276,10.215251,5.7880607,834.1799
8.239989,0.6754312,0.14464869,2.2275012,0.08152641,5.380036,20.691761,0.99717563,3.2872388,0.5386687,9.509569,5.1791873,294.55576
10.288906,0.41689646,0.43786302,2.2512147,0.08755129,11.259818,32.29334,0.9981884,3.185612,0.6554429,9.996664,5.646365,661.86505
7.004296,0.5233221,0.14209642,2.185773,0.07270485,10.432841,26.917473,0.9946085,3.3764565,0.6117023,11.4237385,5.988494,1288.852
7.2481365,0.5103884,0.1909929,2.2328012,0.07503543,27.867563,60.363277,0.99580425,3.384759,0.61999357,10.652394,5.7306404,982.51666
8.04615,0.49650055,0.34725225,4.1597505,0.08545187,23.560911,74.903496,0.9977005,3.315893,0.6558809,10.475958,5.6383386,627.6595
7.576903,0.6333831,0.15901782,2.3671656,0.087371916,22.856434,73.4426,0.9966762,3.335635,0.5517708,9.763093,5.267089,759.88885
7.086919,0.62426144,0.08548379,2.2030995,0.0721688,6.971274,16.708498,0.9949532,3.3712926,0.5435066,11.054055,5.611019,1247.2051
9.783145,0.4259778,0.44016427,2.6131551,0.08273053,13.614846,39.667484,0.9980912,3.2537918,0.73321277,10.60466,5.9615173,592.044
10.377806,0.5346578,0.42974722,2.6509724,0.09393727,16.61377,59.120052,0.9988426,3.1849592,0.6347875,9.905106,5.21364,570.62427
6.137642,0.5425387,0.092319295,2.147407,0.06419057,13.593137,36.4126,0.9935867,3.5126693,0.63886803,12.241952,6.192584,1090.5924
10.255144,0.46950886,0.42358783,2.5784018,0.08704629,12.739292,40.717342,0.99843556,3.2075071,0.6311536,10.179404,5.5783257,584.2727
8.242538,0.42261165,0.31601843,2.2820303,0.08030285,10.260407,25.446766,0.9958248,3.282393,0.6444099,10.953732,6.0858364,1126.1407
7.850227,0.6802283,0.11124942,2.236152,0.08372876,7.880569,28.72277,0.9970453,3.3317945,0.5703534,9.718085,5.2215805,456.00595
7.9332504,0.46844667,0.35379755,3.0901685,0.08369128,37.749466,116.83272,0.99678177,3.261362,0.65250725,10.029838,5.40059,1026.8187
8.477503,0.44957322,0.30207795,2.147582,0.086173646,10.059594,30.57925,0.9968486,3.2738004,0.64560646,10.056236,5.6742945,813.9088
9.051495,0.5348912,0.2737391,2.2790408,0.09163182,10.705348,35.082428,0.99785656,3.2430017,0.61783034,9.659568,5.380425,490.82114
12.305009,0.44588155,0.6325405,4.6450953,0.08704289,7.057383,17.880283,0.99903053,3.1433148,0.7208061,12.401193,6.9957848,549.3803
8.217128,0.3933305,0.33384964,2.1022813,0.0761141,7.5660596,20.069546,0.9952628,3.287055,0.6642166,11.417255,6.3185167,1201.2684
8.032775,0.611438,0.18220659,2.2847862,0.084422275,11.197081,45.7784,0.9970728,3.3075855,0.5861839,9.65211,5.30225,352.56482
7.5004168,0.4596273,0.23314783,2.3373554,0.078274354,13.435115,29.6726,0.99551207,3.34149,0.6300955,10.9244175,6.0122623,1201.9783
7.2899737,0.7049498,0.079707295,2.322882,0.082136616,12.062323,30.979181,0.996405,3.3950248,0.5770589,10.044694,5.1569915,930.6369
7.4556975,0.43970913,0.27194533,2.4205496,0.08068784,21.783342,53.02831,0.9959592,3.3798654,0.69133335,10.891952,6.0201707,993.90656
7.6650734,0.5945374,0.14199829,2.3230958,0.08359976,12.676327,40.00716,0.9969762,3.343595,0.6145995,9.764479,5.42539,675.66724
6.963522,0.52596945,0.1631049,2.123275,0.07336044,41.1138,91.89815,0.99435055,3.3546598,0.52247435,10.942028,5.72014,1020.1318
6.957262,0.65264237,0.081866175,2.3761027,0.0766485,13.087505,26.131813,0.9955545,3.4343212,0.5849524,10.726743,5.4038258,1258.0093
10.473186,0.5371628,0.3946398,2.3364973,0.08234765,5.22722,16.153242,0.998295,3.1550202,0.535054,9.851227,5.2578735,532.61255
10.770617,0.43367806,0.4963836,2.691895,0.08177919,12.0571165,38.517746,0.99849075,3.1911066,0.7276695,10.61706,5.937651,593.7697
10.066801,0.3780789,0.4561322,2.2426593,0.087676875,11.683991,31.418154,0.9975628,3.2093208,0.7161076,10.375714,6.0037565,725.2738
7.812309,0.45574334,0.29914078,2.6688511,0.08252481,19.28286,52.27617,0.9967381,3.3311331,0.66341937,10.380639,5.8613133,959.30383
7.8545403,0.4922036,0.24600677,2.3345568,0.08478308,18.830107,58.105827,0.99705106,3.332416,0.6401202,9.882705,5.584288,835.90564
13.35317,0.5212176,0.5977597,3.5139785,0.08193766,8.824392,33.763103,1.0010641,3.0186098,0.60454804,10.319406,5.227472,448.49222
7.699579,0.5354357,0.16872498,2.206387,0.08326097,11.59378,33.531597,0.9967065,3.338161,0.6257947,9.875452,5.4833727,859.43677
7.7295723,0.5800785,0.19466153,2.2842796,0.084207796,18.661938,60.26827,0.99692196,3.3285673,0.5953979,9.709106,5.3823695,814.9897
7.4764194,0.48782656,0.25969696,2.1991093,0.081264146,37.53978,82.9301,0.99584043,3.3121889,0.6132807,10.4043665,5.5112386,1255.5502
9.011819,0.43002626,0.34329212,2.112126,0.09159089,7.856697,24.115181,0.9970787,3.2290595,0.6422025,10.068683,5.7610626,809.92883
8.0387125,0.31316242,0.4189765,2.2804213,0.06903717,13.149271,32.133835,0.9942796,3.317087,0.762198,12.386176,6.9554625,1063.4269
7.5882134,0.5956958,0.15493962,2.3817034,0.08315137,15.312539,48.20633,0.99695206,3.3588767,0.6027779,9.787485,5.434742,665.25836
7.709953,0.4855423,0.2153807,2.3210998,0.084332205,16.09529,43.192757,0.99672496,3.3421912,0.6568503,10.06328,5.7178617,942.0736
10.580592,0.48941863,0.43154892,2.4119751,0.083551854,9.25175,30.061958,0.9985015,3.1605275,0.59364796,9.969279,5.375555,579.1526
8.524997,0.35984558,0.39531845,2.283873,0.07517497,10.367863,23.06987,0.9954635,3.264361,0.6914465,11.454215,6.421679,1123.8778
6.5717244,0.5298191,0.12031959,2.2109761,0.06949768,18.898457,43.368214,0.9945047,3.4860697,0.6596585,11.645472,6.091225,1023.5678
12.449292,0.47792137,0.5721658,3.2358608,0.08641327,8.433306,31.37427,0.9997929,3.08576,0.6291167,10.704219,5.719311,505.62378
7.653103,0.49052945,0.24991906,2.289358,0.081782594,32.33279,73.45849,0.9962722,3.3059394,0.6065905,10.171697,5.534183,1197.5433
7.7072315,0.5534808,0.17790242,2.3185854,0.0816498,10.594627,27.853374,0.9965328,3.3579986,0.6062229,10.291484,5.6482806,784.78107
9.590117,0.4795391,0.3661528,2.342699,0.08585774,10.667336,34.258495,0.9979442,3.2217488,0.62507486,10.003294,5.5346575,576.42
8.273053,0.556187,0.2298756,2.2980516,0.08623809,12.175931,43.452164,0.99735516,3.2825558,0.6061431,9.57535,5.3332043,491.07724
7.621398,0.8272528,0.056351814,2.344282,0.086348236,9.5996895,28.40713,0.9968812,3.3766925,0.5436033,9.822428,4.865208,622.02167
9.181136,0.48719692,0.37339926,2.3400245,0.087878436,18.765553,66.434586,0.99791723,3.2595117,0.70899266,9.910406,5.4757376,603.6969
7.493771,0.53132474,0.14852424,2.2146661,0.080102116,11.344573,29.096632,0.9962033,3.3417225,0.60460293,10.22222,5.6003647,1071.63
11.795102,0.43019125,0.53925776,2.5977943,0.08353876,9.96918,31.996721,0.9990509,3.1289482,0.67744946,10.494157,5.8553762,576.50507
8.475405,0.45952687,0.2909908,2.2377007,0.08368268,10.681957,30.484142,0.9968776,3.2776332,0.64389795,10.22183,5.766728,800.7074
8.704246,0.40653363,0.45377263,3.9147875,0.06769387,22.447186,126.39494,0.99677104,3.1141257,1.1520954,11.068127,6.1557965,554.92566
6.6964593,0.6423664,0.085485265,2.3208485,0.075505175,16.561798,33.82396,0.9952687,3.4810135,0.6006117,11.0080385,5.5438337,1237.0175
11.211326,0.4715168,0.5809816,2.7355702,0.16950849,18.489912,50.225338,0.9991991,3.0844815,1.0088168,10.11261,5.635773,454.1497
