Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
2002.0,0.49,0.38,0.26,0.13,1.27,75.0,35.0,8.5,60.0
2002.0,0.23,0.18,0.2,0.06,0.68,76.0,24.0,8.9,81.0
2002.0,0.14,0.11,0.17,0.04,0.46,70.0,23.0,8.7,19.0
2009.0,0.84,0.35,0.0,0.12,1.31,78.0,83.0,7.8,356.0
2009.0,0.65,0.4,0.0,0.19,1.24,79.0,53.0,7.7,308.0
2012.0,0.48,0.24,0.0,0.07,0.79,74.0,69.0,7.0,173.0
2012.0,0.36,0.28,0.0,0.1,0.74,79.0,39.0,6.8,179.0
2012.0,0.07,0.03,0.0,0.01,0.11,76.0,12.0,6.4,389.0
2008.0,0.82,0.51,0.01,0.14,1.48,65.0,69.0,7.1,71.0
2008.0,0.43,0.51,0.02,0.19,1.14,65.0,42.0,6.6,47.0
2008.0,0.29,0.28,0.01,0.07,0.65,54.0,11.0,7.5,26.0
2008.0,0.01,0.01,0.0,0.0,0.03,70.0,18.0,6.3,55.0
2000.0,0.51,0.35,0.0,0.06,0.92,61.0,11.0,6.7,44.0
2000.0,0.3,0.2,0.0,0.03,0.53,51.0,16.0,4.6,14.0
2008.0,0.12,0.52,0.0,0.02,0.66,70.0,7.0,6.0,12.0
2009.0,0.0,0.01,0.0,0.0,0.01,63.0,6.0,5.8,8.0
2006.0,0.0,0.25,0.0,0.04,0.3,79.0,30.0,8.3,38.0
2005.0,0.07,0.06,0.0,0.02,0.15,52.0,33.0,6.8,12.0
2005.0,0.05,0.01,0.0,0.0,0.06,51.0,40.0,6.9,8.0
2001.0,0.2,0.15,0.0,0.05,0.4,61.0,11.0,5.7,18.0
2002.0,0.09,0.02,0.0,0.0,0.11,52.0,17.0,6.8,8.0
2008.0,0.08,0.0,0.0,0.01,0.08,38.0,5.0,3.2,5.0
2002.0,0.21,0.17,0.16,0.06,0.59,73.0,19.0,5.6,18.0
2002.0,0.14,0.04,0.0,0.01,0.19,79.0,17.0,9.0,4.0
2002.0,0.04,0.01,0.0,0.0,0.05,78.0,9.0,7.7,6.0
2010.0,0.3,0.64,0.07,0.22,1.23,82.0,56.0,7.8,57.0
2010.0,0.32,0.42,0.02,0.09,0.85,83.0,61.0,8.1,58.0
2010.0,0.09,0.22,0.03,0.12,0.46,69.0,11.0,7.4,9.0
2010.0,0.23,0.15,0.01,0.04,0.42,70.0,19.0,6.7,11.0
2014.0,0.15,0.36,0.01,0.09,0.61,73.0,33.0,4.3,87.0
2014.0,0.15,0.25,0.0,0.03,0.42,74.0,29.0,4.4,93.0
2006.0,0.15,0.12,0.0,0.04,0.3,62.0,53.0,8.2,40.0
2006.0,0.35,0.01,0.0,0.06,0.42,39.0,23.0,4.9,46.0
2006.0,0.12,0.04,0.0,0.01,0.17,41.0,20.0,7.2,13.0
2007.0,0.27,0.08,0.0,0.07,0.41,55.0,31.0,7.1,14.0
2009.0,0.36,0.11,0.03,0.07,0.57,77.0,66.0,8.0,96.0
2001.0,0.18,0.05,0.0,0.01,0.24,59.0,15.0,6.2,5.0
2009.0,0.12,0.07,0.0,0.02,0.21,71.0,54.0,6.4,64.0
2009.0,0.1,0.06,0.01,0.03,0.19,72.0,37.0,7.2,57.0
2005.0,0.85,0.76,0.0,0.16,1.77,47.0,21.0,6.6,129.0
2005.0,0.33,0.1,0.0,0.02,0.44,50.0,14.0,5.9,21.0
2016.0,0.04,0.08,0.0,0.02,0.14,45.0,16.0,5.9,140.0
2016.0,0.03,0.02,0.0,0.0,0.05,35.0,17.0,5.2,74.0
2015.0,0.04,0.0,0.12,0.0,0.17,77.0,26.0,8.2,38.0
2007.0,0.1,0.01,0.0,0.01,0.13,60.0,7.0,8.3,48.0
2009.0,0.18,0.01,0.0,0.01,0.21,80.0,43.0,8.7,35.0
2008.0,0.21,0.01,0.0,0.02,0.24,60.0,12.0,5.3,14.0
2008.0,0.21,0.0,0.0,0.02,0.23,63.0,16.0,4.9,10.0
2009.0,0.09,0.02,0.0,0.01,0.12,64.0,20.0,6.8,14.0
2009.0,0.23,0.14,0.3,0.04,0.7,78.0,51.0,8.4,79.0
2011.0,0.3,0.15,0.22,0.07,0.74,77.0,28.0,6.7,82.0
2011.0,0.3,0.12,0.03,0.04,0.49,78.0,71.0,6.2,82.0
2011.0,0.1,0.06,0.08,0.01,0.24,71.0,37.0,7.8,26.0
2010.0,0.06,0.05,0.15,0.03,0.29,71.0,30.0,7.2,12.0
2001.0,2.06,0.56,0.38,0.17,3.17,89.0,22.0,9.1,95.0
1997.0,0.16,0.11,0.56,0.06,0.89,83.0,10.0,8.2,22.0
2004.0,0.88,0.34,0.32,0.18,1.71,84.0,57.0,9.1,81.0
2007.0,0.69,0.04,0.22,0.06,1.01,80.0,54.0,7.9,101.0
2006.0,0.37,0.3,0.12,0.19,0.99,75.0,26.0,8.3,30.0
2006.0,0.15,0.12,0.2,0.04,0.51,75.0,45.0,8.4,55.0
