Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
2011.7185,0.6441993,0.9367655,-0.21518351,-0.17896724,2.7628946,84.09208,48.05928,5.7466483,-406.26968
2011.653,0.8355855,0.90409696,-0.18463625,-0.1644902,2.6674776,83.54196,47.80784,5.778606,-376.63028
2011.707,0.58496,0.93850267,-0.21395709,-0.17973551,2.765828,84.07041,47.875103,5.747153,-407.75003
2011.717,0.86878693,0.93836045,-0.21487172,-0.1811423,2.7686608,84.11955,48.018566,5.7451887,-409.395
2011.6757,1.0707878,0.9184485,-0.19991942,-0.15429138,2.7315078,83.95721,47.965233,5.748131,-351.23087
2011.7101,1.169393,0.9346494,-0.21394064,-0.18100396,2.7584198,84.06983,47.95398,5.7512546,-408.61606
2011.5488,0.9674972,0.9132532,-0.212041,-0.17925325,2.7557795,84.02857,48.029358,5.75016,-404.4791
2011.7091,0.7175399,0.9384046,-0.21594219,-0.1807186,2.7653885,84.06084,48.062088,5.7458286,-405.60104
2011.6873,0.32072395,0.9350575,-0.2124029,-0.17864415,2.7201443,83.994316,48.03214,5.7617335,-403.67776
2011.701,0.47715762,0.9324711,-0.19934942,-0.17957419,2.7486844,83.970314,47.923122,5.7519736,-381.78256
2011.7203,1.1572876,0.9390427,-0.21181084,-0.18171865,2.7683723,84.09126,48.061024,5.7464056,-408.8832
2011.7041,0.8910605,0.9352842,-0.21408404,-0.17767751,2.7548625,84.05561,48.05857,5.7467237,-388.7786
2011.6606,1.107286,0.92896324,-0.21043251,-0.17930025,2.6547883,83.38233,47.614506,5.7588844,-335.73438
2011.6726,0.8119686,0.9375865,-0.21294843,-0.17757818,2.735077,83.92436,47.7342,5.764192,-376.8879
2011.72,1.0764846,0.939509,-0.21587785,-0.18075919,2.764598,84.07933,48.060936,5.7531495,-397.7892
2011.7086,1.092822,0.93476456,-0.20983706,-0.1790337,2.766233,84.066154,47.964836,5.7491937,-403.93314
2011.4237,0.6406284,0.9367941,-0.2158752,-0.17651308,2.7582672,83.93503,47.794353,5.7470355,-404.24673
2011.7202,0.92466825,0.9382542,-0.21455427,-0.18174121,2.768726,84.12056,48.04238,5.7443404,-407.02304
2011.7045,0.32378924,0.9394059,-0.21705963,-0.18075657,2.76814,84.10344,47.882,5.7455077,-405.91904
2011.7134,0.8678185,0.93916756,-0.21598159,-0.18140164,2.766485,84.10551,48.057247,5.7474537,-406.46524
2011.5985,0.92963755,0.9291179,-0.21235265,-0.14876717,2.6022644,83.79844,47.444134,5.7759223,-304.32294
2011.7152,1.0975491,0.93450874,-0.19416578,-0.17819214,2.7610521,84.028046,48.050438,5.7630954,-398.42386
2011.6914,0.72316563,0.9376973,-0.21565859,-0.17988548,2.7675335,84.02551,46.06777,5.744986,-395.96884
2011.6858,1.0637431,0.92111546,-0.19817303,-0.1814729,2.7676444,84.10958,48.032536,5.751701,-399.88657
2011.7169,0.9844225,0.93783695,-0.21673949,-0.17410117,2.7672358,84.11824,48.061047,5.754916,-406.4335
2011.7183,1.3017069,0.9384807,-0.2143128,-0.18168142,2.765836,84.10511,48.051846,5.7446423,-409.6561
2011.7192,1.0378631,0.9385467,-0.19069712,-0.18139455,2.7685392,84.12202,48.0253,5.752434,-409.28964
2011.6488,0.7113918,0.92359287,-0.21422349,-0.17898148,2.7673655,84.08938,48.04178,5.758006,-400.40182
2011.6891,0.74777365,0.9219629,-0.16168065,-0.17841956,2.7618768,83.97853,48.00084,5.7759857,-355.62045
2011.7086,1.1526717,0.93774414,-0.21046104,-0.17635137,2.767533,84.085655,48.056572,5.760253,-403.07742
2011.711,-0.0075763944,0.9341938,-0.21462809,-0.17866722,2.7456057,84.090256,48.058666,5.7508774,-401.06046
2011.7192,0.9210933,0.939396,-0.21621864,-0.181079,2.7686193,84.12162,48.03326,5.745598,-406.28244
2011.7084,0.9972256,0.9339228,-0.21276166,-0.17719257,2.7657092,84.11133,47.922237,5.746794,-405.09525
2011.718,0.87469417,0.9387138,-0.21705057,-0.1816225,2.7683089,84.093506,48.049667,5.7449565,-406.09732
2011.719,0.9431511,0.9384921,-0.2151651,-0.16637781,2.7678201,84.0984,48.06088,5.7451434,-404.15933
2011.6558,0.9071508,0.9301061,-0.1916038,-0.1765463,2.751049,83.86713,47.419975,5.751467,-331.8047
2011.7123,1.067674,0.9362723,-0.2159561,-0.18182057,2.7630877,84.01557,48.013557,5.7568126,-391.3439
2011.6521,0.5441582,0.9198647,-0.21384217,-0.18051487,2.7668064,84.100716,47.949894,5.7471943,-404.99594
2011.7211,0.8547241,0.93789935,-0.20981003,-0.1814259,2.7678936,84.10409,48.05396,5.7583156,-404.76694
2011.6993,0.8954148,0.9361308,-0.19891696,-0.18055585,2.73037,84.0147,48.058838,5.746716,-405.9628
2011.7174,0.6976585,0.9354445,-0.21078606,-0.1800203,2.7623432,84.10033,48.00012,5.747812,-382.29373
2011.6512,0.66569227,0.9315421,-0.21616964,-0.1802156,2.7557652,83.95048,47.97668,5.757227,-391.74832
2011.7185,0.966119,0.93643725,-0.2146434,-0.17994386,2.7674098,84.07967,48.043903,5.7513833,-404.40543
2011.7184,0.98153406,0.93901485,-0.21578936,-0.18069282,2.7665439,84.108696,48.060352,5.7502337,-398.54147
2011.7196,1.1752418,0.9338035,-0.18683669,-0.1803942,2.7681913,84.11034,48.058178,5.7476993,-407.7642
2011.7179,1.1483467,0.93859845,-0.21688633,-0.17895174,2.763951,84.08055,47.993282,5.746749,-379.73062
2011.7161,0.64978355,0.9374469,-0.20041455,-0.18159738,2.7608654,84.08191,47.731,5.7553625,-373.7925
2011.7175,1.1014452,0.9374507,-0.21658961,-0.18181482,2.766867,84.1159,48.02367,5.7445564,-405.45975
2011.7043,0.6597242,0.9305449,-0.20646517,-0.172441,2.759258,84.06601,48.011738,5.7568483,-399.5292
2011.7119,1.21141,0.9347308,-0.2057036,-0.1775865,2.7663586,84.112595,48.05403,5.7530603,-402.23672
2011.6786,0.70507866,0.93371564,-0.20956229,-0.17996278,2.713731,84.03939,46.85491,5.756841,-399.8765
2011.7031,1.0261364,0.93172574,-0.21171202,-0.18017119,2.7414505,84.104576,48.03438,5.745375,-397.60403
2011.7134,0.60625553,0.9384373,-0.21572898,-0.17985576,2.7684124,84.11125,48.058403,5.745793,-408.6472
2011.7047,0.97930014,0.9349301,-0.21108742,-0.17838004,2.7625809,84.05133,47.84037,5.74683,-396.64615
2011.4982,0.56680465,0.9223868,-0.21383213,-0.1715318,2.7558877,84.0611,47.57404,5.74967,-399.45535
2011.716,1.08989,0.92640823,-0.07037344,-0.17995787,2.762575,84.03739,47.930267,5.756183,-394.09933
2011.7188,0.36857465,0.9372143,-0.21712391,-0.17746025,2.768145,84.113655,47.909473,5.744457,-407.0986
2011.6785,0.55934745,0.93041867,-0.2126372,-0.17977071,2.7579777,84.00117,47.460396,5.7562804,-405.94266
2011.709,0.7690443,0.92972225,-0.21351497,-0.16099793,2.727309,83.76278,48.042366,5.7678638,-390.34262
2011.7202,0.65487105,0.93957853,-0.21713756,-0.17530745,2.7619972,84.09601,47.99494,5.7477326,-385.75345
2011.7012,1.1405685,0.9335281,-0.19768073,-0.18099079,2.7634149,83.977005,48.010582,5.7562547,-387.79398
2011.7129,0.3380382,0.93953705,-0.21712281,-0.17952737,2.7673678,84.12059,47.985798,5.74494,-407.81784
2011.72,1.1012379,0.9393059,-0.21486221,-0.18095744,2.768702,84.12241,48.062042,5.7442865,-409.22702
2011.7175,0.7653265,0.9383717,-0.21448512,-0.18064323,2.7676768,84.09602,47.793278,5.7445993,-404.34738
2011.6973,1.0427908,0.9327459,-0.20398216,-0.17749715,2.7537396,83.83983,47.697247,5.752163,-400.38028
2011.7189,1.0582542,0.9392553,-0.21637975,-0.18123192,2.7673433,84.114075,48.039112,5.747503,-408.01077
