Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
2007.4276,0.31132793,0.16978312,0.037557326,0.0519078,0.5169934,69.202095,27.086565,7.144289,80.37818
2007.4075,0.31829584,0.20843731,0.038749874,0.063158564,0.6365737,69.28482,27.175709,7.122904,101.02828
2007.4131,0.33174226,0.19126108,0.042225964,0.060291525,0.5899627,69.63405,27.59587,7.148543,98.18002
2007.4308,0.23947394,0.13534294,0.023477731,0.042179316,0.43811095,68.4634,26.340086,7.097213,83.74934
2007.437,0.32270765,0.17538048,0.04051714,0.053517614,0.53616244,69.37864,27.28823,7.1563606,79.4423
2007.4485,0.17149697,0.10832692,0.011807339,0.035123352,0.39462036,67.93435,25.874647,7.0574603,90.13658
2007.4427,0.31245357,0.1703548,0.047133017,0.06626178,0.63709044,70.980446,29.500668,7.1696024,147.18335
2007.4573,0.5533604,0.3000247,0.025169266,0.119878165,0.9984666,72.30365,32.850197,7.1894135,452.61084
2007.4323,0.31700814,0.17257705,0.039034724,0.05271134,0.5265617,69.290215,27.187227,7.150315,79.911026
2007.4182,0.30001894,0.16422054,0.03461591,0.050307997,0.4979435,69.02664,26.886152,7.1322927,81.30824
2007.416,0.27921703,0.15382193,0.03026775,0.047323458,0.47147104,68.78808,26.63521,7.1173472,82.14048
2007.4465,0.17924798,0.1114074,0.0131380465,0.035927903,0.39957932,67.994675,25.927717,7.061993,89.40828
2007.3492,0.6013729,0.60512704,0.33105543,0.15998447,1.8952861,76.73987,38.317043,7.4983096,284.6749
2007.454,0.33926448,0.18510121,0.047138687,0.059526097,0.5944579,70.04864,28.151915,7.1785245,91.76723
2007.4382,0.21089621,0.12398533,0.018571464,0.03921297,0.41982737,68.24099,26.144413,7.080501,86.43455
2007.4309,0.33083323,0.17675042,0.04249633,0.055475563,0.5455982,69.607445,27.565641,7.162185,86.24462
2007.4353,0.22198902,0.12839393,0.020475892,0.040364396,0.42692438,68.327324,26.220366,7.086988,85.39224
2007.4225,0.26436275,0.14630628,0.027737448,0.045169614,0.45720237,68.66324,26.519686,7.110527,82.25952
2007.5078,0.27084145,0.19615333,0.0338788,0.05628068,0.66319937,68.91495,26.823923,7.1291313,99.21074
2007.4138,0.28408897,0.15628693,0.031097645,0.048029877,0.47615093,68.82902,26.6731,7.119584,82.10143
2007.4528,0.33194548,0.18059178,0.047935404,0.06250125,0.61601144,70.459335,28.729712,7.178778,113.446335
2007.4204,0.26920778,0.14875765,0.028562756,0.045872133,0.4618564,68.70396,26.557365,7.1127515,82.22072
2007.4462,0.18052633,0.11191546,0.013357518,0.036060598,0.4003972,68.00462,25.93647,7.062741,89.288155
2007.4135,0.28509146,0.15679415,0.03126841,0.048175238,0.4771139,68.83745,26.680897,7.120044,82.09338
2007.474,0.33342728,0.21823846,0.110210195,0.07861641,0.80810714,71.667175,30.380352,7.2609267,150.92862
2007.4276,0.25190556,0.14028363,0.025612013,0.043469716,0.44606444,68.56016,26.425205,7.104483,82.581245
2007.4111,0.29142806,0.15999493,0.032381468,0.049092703,0.48347226,68.893364,26.733908,7.1231794,82.01476
2007.4253,0.47541726,0.30292273,0.2563713,0.08232237,1.0131692,72.73639,32.518764,7.442661,119.096725
2007.4457,0.18230006,0.11262039,0.013662031,0.036244705,0.401532,68.01843,25.948616,7.063778,89.12148
2007.4415,0.30533233,0.20797119,0.03765827,0.06106073,0.64648086,69.12222,27.013021,7.12481,92.56887
2007.4467,0.17859606,0.11114832,0.013026124,0.035860237,0.39916223,67.9896,25.923254,7.0616117,89.46954
2007.4221,0.26522702,0.14674355,0.027884675,0.04529494,0.4580326,68.6705,26.526407,7.110924,82.25262
2007.416,0.3253246,0.19275819,0.04059053,0.05945257,0.5900267,69.44614,27.367065,7.1417637,94.13232
2007.4777,0.3262221,0.18531945,0.075273104,0.076324694,0.7190243,71.256226,29.52448,7.212359,148.33264
2007.6147,0.8100046,0.34546956,0.020062732,0.16405058,1.172555,75.95023,39.65167,7.319696,942.9986
2005.7549,1.4699026,0.7434088,0.73886347,0.26028207,2.4772391,76.82092,38.17418,7.633714,119.55513
2007.4238,0.2613533,0.14478362,0.027224818,0.044733256,0.45431158,68.63795,26.49628,7.109145,82.28366
2007.3512,0.23045596,0.19832653,0.03545785,0.08401161,0.87765664,70.89014,28.9649,7.0721083,388.02423
2007.4263,0.25597984,0.14206485,0.026309488,0.04395412,0.44914994,68.59279,26.45449,7.106678,82.32673
2007.416,0.2973969,0.16293083,0.03393393,0.049937073,0.4935267,68.98597,26.839685,7.1295114,81.52388
2007.4401,0.20380093,0.12116546,0.017353335,0.038476482,0.4152879,68.18577,26.095833,7.0763516,87.10122
2007.4338,0.22787249,0.1307322,0.021485975,0.040975098,0.4306885,68.37311,26.26065,7.0904284,84.83944
2007.4575,0.34146732,0.18559256,0.04832737,0.060664225,0.6057143,70.20477,28.353098,7.18326,96.965706
2007.4382,0.34044468,0.22943446,0.046578217,0.06802048,0.6897475,69.68122,27.72442,7.144778,76.149124
2007.4547,0.3358233,0.18262836,0.048095033,0.061753113,0.6118179,70.35566,28.576334,7.1806035,106.73452
2007.9156,0.78383076,0.31320113,0.04503447,0.14708209,1.039832,76.8687,40.663,7.308292,1275.2235
2007.4182,0.2742763,0.1513221,0.029426133,0.04660706,0.46672508,68.74655,26.596785,7.1150784,82.18009
2007.6991,0.9939658,0.5271455,0.023359118,0.21095854,1.6465386,76.62374,41.034702,7.256476,900.74976
2007.444,0.34093338,0.18319651,0.046838112,0.059421606,0.5854963,70.04956,28.139265,7.1769037,94.33466
2007.4341,0.22676519,0.13029212,0.021295873,0.040860157,0.42998007,68.364494,26.253069,7.089781,84.943474
