fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
6.5826287,0.67968374,0.45199466,1.3167008,0.097960696,11.560962,33.9723,0.99761367,3.2517078,0.56195563,9.5684595,6.2914133,396.08237
6.5872374,0.38797593,0.457993,3.532566,0.1332175,6.5850763,76.28748,0.99678206,3.194291,0.5123043,10.610047,5.773267,379.2496
8.60973,0.4463391,0.3032844,3.6976514,0.0713147,24.42472,18.318867,0.9973861,3.437292,0.7125918,9.421501,6.1142654,1005.31067
7.1970143,0.6147978,0.4336253,2.0024066,0.1334869,7.6864853,62.63953,0.99477994,3.1614792,0.6463485,9.534356,4.8384585,1100.7502
6.874289,0.50529027,0.11546108,2.035727,0.1338463,24.399845,17.820662,0.99509615,3.164078,0.8180005,9.366099,4.857871,486.9222
6.5699897,0.48728445,0.44539776,1.9118456,0.08748132,5.5909767,50.39285,0.9953297,3.201805,0.49116966,11.462969,5.445467,392.50522
6.5819626,0.45863855,0.40408605,1.6043751,0.062087055,5.833392,18.762918,0.99644524,3.3984063,0.7183564,11.389289,5.596096,361.6455
9.873688,0.6873279,0.11863002,3.1241188,0.1329381,24.97608,39.012104,0.9948,3.1883261,0.8171466,9.388388,5.017399,1277.5754
9.722462,0.70659304,0.1705918,1.3361865,0.1258262,24.07201,34.08241,0.994779,3.1618974,0.57453334,9.391826,5.141037,1267.6348
7.4353337,0.36026743,0.1174414,2.6791508,0.10286556,5.7253323,49.896152,0.994792,3.1653228,0.70039606,11.49733,4.8461623,354.99118
7.42817,0.61874264,0.28829634,2.3243241,0.12051685,20.129879,74.04498,0.9974889,3.2791607,0.79252,9.389741,5.65775,1223.5967
6.6077642,0.35314453,0.39173415,3.168794,0.070299745,13.019915,20.195219,0.9961211,3.298635,0.49344608,9.408321,6.23046,351.5424
6.5759654,0.6911021,0.44902307,1.3328741,0.11894517,6.405596,77.67583,0.99633527,3.1843114,0.49500644,11.500846,5.9819255,373.61932
6.602685,0.35878584,0.4326369,3.8025894,0.12068098,23.62841,16.324724,0.9964679,3.4353678,0.7821346,9.375249,5.11091,352.37738
6.571245,0.35407233,0.18878545,1.3601189,0.08699891,5.482889,76.16285,0.9985599,3.4608254,0.489676,11.471208,5.0686364,353.361
6.6042457,0.3694378,0.16134226,1.2161992,0.13207264,9.230679,16.899591,0.99638563,3.439833,0.5432767,9.61159,5.2666345,359.31055
6.562938,0.35379013,0.3418359,1.3448066,0.11194875,18.797913,14.228666,0.9984602,3.460603,0.5008755,9.584867,6.0422597,351.0128
6.7409034,0.4219017,0.18001558,1.3321158,0.06666359,7.7538996,57.620136,0.99533784,3.2300613,0.495207,10.041385,5.547723,386.62448
9.737621,0.70973504,0.4464473,1.3507274,0.13301173,10.258286,29.95212,0.9959447,3.182941,0.81154454,9.380202,6.4057016,1278.8246
6.911163,0.70335066,0.4602194,2.7184436,0.09348948,25.498407,53.01508,0.99728376,3.4235017,0.4965788,9.588438,6.476028,1064.7023
6.5643234,0.35884473,0.45257953,3.6329103,0.075155295,5.977661,68.947296,0.9984227,3.459962,0.4906205,11.381556,6.0912333,354.6703
6.5714436,0.6930054,0.41341424,1.3660759,0.13103752,21.24698,22.929653,0.99808747,3.1778584,0.5638895,9.367327,5.718079,352.6428
8.301019,0.7019083,0.41939783,3.4760969,0.049282044,8.11442,72.54017,0.9954139,3.2894087,0.49075526,11.476374,5.505307,1111.2787
9.406069,0.5262448,0.16042422,1.4242467,0.043815274,8.100168,20.54275,0.99856466,3.2873328,0.6885643,10.556783,6.159592,841.9972
7.510136,0.6553656,0.15396355,1.2271644,0.078181334,8.612137,36.815693,0.99789524,3.1791368,0.66660935,11.217686,6.109749,519.3424
8.884288,0.55316323,0.4354111,2.482493,0.13135684,5.542431,74.08049,0.9950299,3.2120671,0.81113464,11.493275,5.4154873,1209.8434
6.5664387,0.69347364,0.4605425,1.6327894,0.13388574,5.4852,77.144844,0.9962693,3.28258,0.8010159,11.513352,5.200891,419.01462
9.714122,0.35290337,0.11918345,3.4059443,0.03907045,6.18674,25.13368,0.99716926,3.466956,0.8175178,11.511556,6.472659,445.3313
6.564649,0.35210598,0.39514396,3.8189416,0.060514346,5.787714,15.592556,0.9964627,3.457185,0.49085024,11.404117,5.367107,351.16397
7.924467,0.49577114,0.07154651,1.217892,0.047357153,25.273405,13.941195,0.9985419,3.4488933,0.82152414,9.365237,6.4400744,959.96155
6.942987,0.35464743,0.1770712,3.772419,0.040649384,18.318523,16.206102,0.99853843,3.4212773,0.5280354,10.9065,5.1205006,358.69232
6.7768493,0.69330794,0.45152453,2.9561949,0.1329555,11.128964,77.34996,0.998247,3.1690092,0.49190256,11.138995,5.6238093,448.3072
7.6250825,0.5939086,0.20577134,1.371902,0.09041732,5.496414,77.72934,0.99549174,3.1902192,0.49324808,11.51245,6.099437,495.96817
7.345055,0.709231,0.45802826,3.72985,0.1312968,25.876919,15.395851,0.9979218,3.3317146,0.76051563,9.370623,6.326153,1279.9182
6.5641108,0.39291334,0.42387894,3.2153819,0.12891443,6.4440165,30.09993,0.9983645,3.2455566,0.60731816,10.10363,5.0445404,353.11438
9.953521,0.3649336,0.108111635,3.7569332,0.039080247,22.678516,77.67575,0.99477226,3.4663787,0.821686,9.864974,4.8370023,1263.9198
9.685794,0.42238027,0.4565226,3.774132,0.12923282,8.000669,70.74553,0.99490196,3.4620674,0.8147796,11.482101,4.934286,1274.5476
6.678152,0.7098374,0.44895536,1.2801636,0.12620883,8.4566345,54.999237,0.99809855,3.1932113,0.79428387,11.237778,6.267694,1225.1821
6.9403048,0.5756345,0.3471354,1.6751242,0.07805827,9.439579,53.674717,0.9948989,3.1698513,0.53794825,9.439631,5.2767196,367.88196
6.6061296,0.49600595,0.44470882,3.8197205,0.040828455,24.506453,58.345646,0.9985216,3.4091945,0.5498197,9.368331,5.6095395,351.15558
9.844782,0.7095873,0.3891858,2.4733431,0.1338577,25.938416,13.943363,0.9947737,3.1614785,0.8180701,9.365001,4.8481393,1278.6061
6.5682735,0.43767586,0.43635842,1.3172886,0.13289,10.438145,14.929182,0.9976789,3.348555,0.8026996,9.69223,5.216001,403.50638
6.750872,0.3806291,0.2849609,2.4648426,0.040354326,11.10664,65.51412,0.9985813,3.4175944,0.5216024,11.395404,6.468178,364.25818
9.799174,0.62416166,0.071196795,1.4841887,0.03924402,25.926224,13.928213,0.9985951,3.4419503,0.8203892,9.365038,6.458244,1034.1248
9.625635,0.3668001,0.19680029,2.8625798,0.042663474,20.392975,13.929432,0.9977677,3.4345047,0.82151073,9.368142,6.4537706,1094.018
9.95046,0.6696491,0.24888416,1.3504293,0.0399262,17.288086,39.68249,0.9955786,3.3497818,0.80083925,10.374478,6.3123355,1275.661
9.952322,0.70865446,0.38038626,3.4225392,0.04190925,23.414772,52.80729,0.9983049,3.4594316,0.820443,9.696122,6.3375897,1279.3643
6.578257,0.4010589,0.40435952,1.9910487,0.13372014,18.791092,14.522638,0.99826837,3.4126656,0.56919295,9.931748,6.1053896,567.9147
7.0851383,0.36782792,0.08646931,1.5175177,0.039176334,12.974005,35.45398,0.9985855,3.2943153,0.5030477,11.470656,6.233909,354.30457
7.1162114,0.70979583,0.46056697,3.396881,0.13382794,11.940757,75.402534,0.99685127,3.2818222,0.5789879,11.513195,5.336635,1276.357
6.57324,0.38785902,0.3128871,1.2141705,0.13348626,5.487241,21.512884,0.99724394,3.416677,0.80523,11.477131,5.4609466,352.4566
6.581731,0.35541692,0.076578915,2.6847525,0.11124308,6.24784,23.456022,0.9975468,3.3410683,0.75746095,10.259439,6.376538,351.3164
7.593047,0.45982984,0.44681972,3.3559203,0.10969614,18.469398,39.63148,0.994945,3.345906,0.6329758,9.80719,6.0367217,411.62283
6.598902,0.44809794,0.42260766,1.6387246,0.059259195,21.414965,30.652607,0.9983532,3.4464452,0.4958111,9.5904875,6.468219,394.85864
9.619585,0.70996606,0.382508,1.2442263,0.041989617,17.136477,25.686142,0.99857485,3.4254482,0.82168674,10.344965,6.4758263,1280.1753
6.80858,0.53389513,0.15133421,1.6150912,0.043161537,10.77355,69.24713,0.998541,3.1737435,0.6418096,11.504462,5.8504763,398.385
8.159247,0.6067623,0.44647557,3.6116028,0.1304658,24.185066,35.313614,0.9949758,3.2451544,0.63615763,9.422146,4.8601036,1101.2462
9.256982,0.42549613,0.28613925,3.5193806,0.049066905,15.203611,58.5331,0.9980396,3.4353633,0.746514,10.835773,6.3987675,1269.7516
9.931344,0.70134395,0.41192973,2.180561,0.075991705,8.638595,71.118965,0.99591887,3.442792,0.8061674,11.427209,6.124046,1278.4503
9.096297,0.5569789,0.30448246,3.2699726,0.039185867,23.091183,70.34157,0.9985801,3.3326142,0.6882691,11.468832,6.094764,1197.3004
7.025717,0.36018807,0.085696846,1.2925828,0.08946839,8.359914,27.87337,0.9980193,3.2534144,0.6111954,9.598913,6.029737,375.7977
7.9589276,0.5602379,0.24942899,1.366514,0.053903356,18.43746,14.116501,0.9972448,3.3351138,0.81319505,9.409157,6.4684367,1180.5499
8.186608,0.53603315,0.27026632,3.0249841,0.07002026,15.174941,19.869324,0.9984759,3.4115422,0.6991815,10.279446,5.6543508,1153.0884
6.64918,0.3543221,0.4341935,3.7447476,0.042302143,20.717258,26.178577,0.9985431,3.3356812,0.5004473,9.917602,6.4432592,353.7061
6.576233,0.61285335,0.41517308,2.330555,0.12859425,5.815036,77.709236,0.9976021,3.164631,0.49303734,11.509202,5.5211787,356.89874
6.566059,0.61629915,0.4551453,1.3703964,0.12507847,24.201862,14.309309,0.9962574,3.330835,0.7389314,9.370582,6.17268,376.796
8.397881,0.6646973,0.35236517,3.6855626,0.039076056,25.910534,16.792717,0.9984161,3.3419337,0.5027248,9.373824,6.4600058,472.9462
9.723615,0.37539828,0.25249305,1.728695,0.1299615,7.6665154,43.675068,0.9949802,3.4377482,0.802574,10.778921,5.626002,853.8417
8.167171,0.3894309,0.071537554,1.2149328,0.04088738,24.665447,28.409927,0.9983502,3.4633558,0.5238553,10.853462,4.9252157,351.33273
9.294037,0.6952835,0.33545315,2.37617,0.093776345,25.434649,39.892525,0.9984689,3.4428976,0.7227964,9.716056,4.893018,446.13693
7.854503,0.35286537,0.07147662,2.8048534,0.03907682,7.6201925,72.58021,0.99852014,3.227878,0.56600404,9.392243,4.9797606,376.72186
6.89998,0.35402513,0.15874246,2.1866298,0.045824543,9.7275,18.020824,0.998586,3.455383,0.69961905,10.401494,6.3904104,385.1999
9.468819,0.5904518,0.44730487,3.7622275,0.08131191,22.981934,14.039501,0.99612594,3.4603643,0.8216773,9.366217,4.9219675,1249.4199
8.778129,0.35377568,0.19262542,3.3144126,0.12434015,6.117074,20.208517,0.99817765,3.4027736,0.81772786,11.500008,5.845307,353.03757
8.029913,0.709959,0.36698267,1.2357047,0.07488514,24.690191,62.538963,0.9985954,3.2085066,0.79922724,11.022206,6.4692163,1220.2734
7.8432455,0.6819179,0.28029862,2.4082239,0.039896082,25.481487,18.782663,0.9982621,3.412987,0.7615903,9.36928,6.4702625,1071.7161
6.706867,0.674696,0.37531012,1.4722182,0.09000042,6.2538223,76.46918,0.9954739,3.166077,0.56957346,10.883858,5.0692735,785.4937
6.740506,0.38628083,0.28928304,2.0617247,0.13075066,14.179379,40.65036,0.9953495,3.4207842,0.51545906,9.39051,6.2735515,478.74008
8.990187,0.5410432,0.19771917,1.8685665,0.049154714,18.42673,37.91175,0.99592185,3.3286076,0.81891096,10.593235,5.27872,1244.1179
6.644539,0.48891658,0.43084002,1.384516,0.054756742,7.752173,27.386475,0.99846005,3.3883007,0.49280798,9.74919,6.3029957,357.3446
9.132939,0.55303967,0.14316188,3.2531042,0.043794043,24.850252,14.689419,0.9965082,3.241066,0.79781556,9.365963,5.8907294,1231.0061
9.051574,0.69068944,0.1428989,3.7528548,0.1284149,8.013254,77.54874,0.9952633,3.179691,0.5206515,11.484775,5.03478,1084.091
6.6712923,0.7095704,0.35046387,1.2841283,0.1282807,25.000978,15.254797,0.9964317,3.4002652,0.69728255,10.694763,6.451425,1246.2667
6.625816,0.67059845,0.45791578,1.566212,0.133307,6.167921,76.80917,0.9982915,3.2215316,0.5157266,11.497764,6.3453255,357.30685
6.7180777,0.39760795,0.42217535,3.1612062,0.12024775,5.8863115,77.3596,0.99491805,3.2151878,0.49005523,11.316177,4.998604,439.35507
6.7296467,0.6642719,0.39911896,1.3670617,0.097968385,5.7439413,75.00877,0.99854684,3.365719,0.80877894,11.204627,6.4447713,498.5297
9.918663,0.36305627,0.1757439,3.4424036,0.045936264,5.7182007,76.022644,0.99484503,3.2874355,0.60420096,11.372548,4.9374046,904.7448
6.7273755,0.4947621,0.16673924,1.4197562,0.06699973,18.049053,63.964993,0.9985779,3.3702793,0.6651458,9.478053,6.4591804,381.88358
6.591207,0.3520921,0.071000725,1.2833942,0.03935428,6.3426657,13.932289,0.9985946,3.4393363,0.81781584,9.960475,6.0172286,351.5585
6.5735393,0.6889889,0.456066,3.1778014,0.13375199,25.278036,16.136591,0.99663585,3.1879456,0.60914695,9.413365,6.3051805,1113.4324
6.5806856,0.3677515,0.37563336,2.342935,0.06058433,6.434696,16.518227,0.9984294,3.4489143,0.61241937,10.072491,6.377412,371.8776
9.715601,0.3724497,0.07895534,1.8391262,0.12354364,23.390081,19.124506,0.9947773,3.267407,0.8150385,9.413622,4.8376307,616.03485
8.994204,0.7063404,0.45472825,2.6308956,0.13386308,5.8469677,77.339905,0.99482363,3.229374,0.53432983,11.51028,5.2468452,1222.4985
6.625005,0.35590622,0.25236028,2.7789433,0.053466585,8.433979,71.65448,0.99562186,3.1955788,0.5157008,10.346494,4.84428,353.52252
8.596785,0.37332565,0.4217797,3.7892687,0.11274466,13.623277,18.962141,0.9969291,3.1798716,0.8126623,9.37091,4.841847,931.4675
8.23032,0.6872246,0.44403186,2.2085094,0.08514875,24.426445,16.299292,0.9961271,3.259655,0.54274356,9.460061,5.7234993,1190.4426
6.7125645,0.3610889,0.103417486,3.714643,0.117588766,5.5011196,75.57473,0.99527174,3.1668665,0.5191025,11.486479,5.166843,361.9978
6.5694313,0.44880122,0.40885973,1.7009473,0.052491624,25.834545,14.034548,0.99805844,3.4438255,0.6364573,9.365017,5.2839007,351.33417
6.565549,0.6742185,0.4542424,1.2799193,0.13387462,19.031704,15.060308,0.9950295,3.3289971,0.71603346,10.499183,5.1595726,429.76874
7.5711737,0.6359224,0.43664733,3.6090798,0.07456218,8.432824,19.583223,0.998011,3.2257426,0.82041657,9.63722,4.8422856,927.61676
7.5513587,0.35514313,0.073829874,1.3699062,0.039136793,5.852332,21.49752,0.9977308,3.2643588,0.67879885,9.576585,4.8457594,352.46185
6.7036695,0.70372784,0.16643348,1.2374396,0.050634228,13.21702,15.411211,0.9985732,3.1974163,0.758994,9.383671,6.464457,500.6571
7.348455,0.35263556,0.100096196,2.4006228,0.039150394,5.4803953,29.393936,0.99800247,3.253968,0.57533467,11.506354,5.73912,353.26617
6.661933,0.6731953,0.11136608,1.2216504,0.04089884,25.494804,21.24915,0.99859524,3.1878302,0.55450207,9.370708,6.4693785,425.1914
6.573644,0.4270083,0.45653287,3.757612,0.13384123,8.736347,76.96672,0.998175,3.1812038,0.6683288,11.431208,4.932398,381.5435
6.5676665,0.35972163,0.4549281,3.4774592,0.06412193,6.7699385,76.984146,0.9959425,3.4634032,0.48960334,11.511178,6.4046836,351.06625
