fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
7.982366,0.5374029,0.19167641,2.2670567,0.08096908,11.277706,32.605366,0.996665,3.3018064,0.5976652,9.995799,5.4796224,965.4792
8.228666,0.34987456,0.38486442,2.359009,0.07739788,18.528326,37.66674,0.99553496,3.3027818,0.72137856,11.396391,6.4388437,1052.5085
8.165504,0.5776664,0.24049784,2.3005195,0.0868034,21.222069,83.10447,0.99710965,3.278509,0.58990985,9.521494,5.2536983,548.4999
7.1645536,0.34216222,0.34438702,1.8803558,0.065065645,32.06279,84.05291,0.99355274,3.2963765,0.6435664,11.729606,6.40084,1100.0114
7.8995476,0.53126806,0.1727747,2.2377725,0.0803722,8.668284,22.920765,0.9962079,3.3001525,0.5861146,10.28175,5.5215816,1144.631
9.836946,0.35134637,0.5104625,2.6136718,0.08207151,6.9858747,19.294275,0.9964105,3.2071552,0.67603666,11.57981,6.574883,900.42114
11.228604,0.44525066,0.50298584,2.4712822,0.087230325,12.065276,35.06918,0.99911225,3.1579607,0.64900184,10.118148,5.5123115,528.9372
7.9040685,0.51941556,0.2372261,2.3508732,0.08448619,22.440023,68.367905,0.9970898,3.327421,0.6119407,9.841981,5.405112,837.22534
10.261357,0.35947186,0.5136504,2.4907362,0.080805235,6.1511207,20.377007,0.9968062,3.17385,0.6580774,11.240785,6.4529643,858.6099
7.770534,0.5545712,0.18171148,2.280955,0.083126545,16.845795,54.23364,0.9971691,3.3440993,0.61653227,9.761248,5.388124,636.2129
8.337775,0.3731045,0.37913167,2.2952974,0.080710314,12.023643,27.654722,0.9958348,3.3024087,0.6870546,11.21546,6.2940392,993.2039
5.628102,0.41830057,0.1513737,1.8682573,0.051943637,20.00057,65.24484,0.9920832,3.5920286,0.740397,13.369044,6.8356075,826.0731
9.799135,0.34845164,0.48873657,2.3948507,0.08096273,8.829651,21.234617,0.9965821,3.231917,0.7840985,11.470296,6.8198013,752.54395
11.27232,0.41983193,0.5169334,2.456215,0.08970171,12.396451,37.328766,0.9990386,3.1567335,0.68885857,10.183248,5.728459,573.9231
13.199345,0.43120617,0.61347044,2.9559064,0.08763978,11.841029,35.106907,1.0004618,3.0811362,0.78640467,10.755559,6.3194914,363.20334
7.5603905,0.57704294,0.14085525,2.2391202,0.08585976,10.940411,34.027935,0.9967498,3.3463128,0.6230314,9.892253,5.547123,720.94354
10.931661,0.52104807,0.38887134,2.280666,0.084685914,6.0058694,21.71765,0.99892217,3.1304324,0.6024578,9.393653,5.1457734,274.73184
9.847708,0.6023601,0.34670278,2.5309117,0.087441996,12.619064,51.3161,0.9986717,3.19165,0.57673997,9.476568,4.783595,406.9417
10.215487,0.33349398,0.5276063,2.3873992,0.07897935,7.0288634,20.659023,0.996673,3.1972303,0.7410344,11.462629,6.761196,766.3045
8.794667,0.37984967,0.37260398,2.3155682,0.08602181,16.093094,41.06578,0.99720234,3.2964597,0.76306623,10.38696,6.111894,818.02124
7.853407,0.4767484,0.34549,4.2820945,0.07423651,29.702238,109.0145,0.99746305,3.337845,0.6760598,10.350401,5.490871,745.931
7.516922,0.43950966,0.25715426,2.1897936,0.076702245,10.239701,25.472471,0.99490374,3.344489,0.6401053,11.300774,6.1669154,1195.8534
7.434878,0.5101777,0.18897879,2.2023296,0.076356046,22.98153,52.749977,0.9962896,3.380169,0.6383788,10.220782,5.6485567,1048.0541
8.228979,0.5681303,0.20171838,2.225927,0.08176061,9.232207,31.311947,0.9970124,3.2669415,0.59098494,9.833494,5.316081,714.8889
8.350816,0.63274723,0.14785792,2.3829546,0.09103144,5.6814914,34.013996,0.9973795,3.2975338,0.61468554,9.405918,5.308181,119.11928
10.696684,0.395249,0.48772296,2.4215307,0.08907845,12.556623,34.123383,0.9985318,3.201734,0.74654055,10.466255,6.0970626,625.3899
8.096514,0.6455266,0.14579104,2.3178859,0.08489112,10.481699,37.924942,0.9972145,3.3187351,0.59841484,9.627092,5.293953,408.95157
8.013248,0.59416646,0.18831423,2.308366,0.09009992,13.116612,55.99703,0.99722093,3.3172226,0.64173377,9.635404,5.385202,316.7253
6.867615,0.6476728,0.051910166,2.2563787,0.07505852,10.164864,21.928015,0.99543065,3.431306,0.5791131,10.800982,5.5119443,1222.6068
7.8245225,0.40605953,0.30226147,2.3299563,0.077715725,12.173083,28.1578,0.99573404,3.3398178,0.65450287,11.203225,6.1129365,1051.2404
7.6667905,0.88688,0.071963996,2.4776103,0.0826617,8.474345,28.226877,0.9968953,3.434402,0.53313893,10.097714,4.706836,546.4762
8.303631,0.48255318,0.25411725,2.2016647,0.079557955,10.713113,31.079344,0.9968844,3.3073819,0.65611637,10.137771,5.7049704,736.2542
6.9680614,0.5737883,0.10020733,2.1940126,0.07509896,11.682635,26.609703,0.99534684,3.4140894,0.6079621,10.80411,5.743054,1209.4076
8.338462,0.5396712,0.26423797,2.3107266,0.08603038,15.225561,55.725483,0.99764985,3.3079765,0.6319474,9.799954,5.338442,535.27075
6.4357777,0.43035996,0.23799373,1.9388343,0.052714713,9.024681,28.948792,0.991686,3.4267745,0.64782655,13.530143,6.9102407,1193.7521
7.9554987,0.6327751,0.14422257,2.3718102,0.08220386,11.825633,43.205605,0.99705094,3.312828,0.6034412,9.625112,5.301746,563.03265
7.826827,0.5356935,0.20769411,2.3432238,0.084893,15.191386,47.724968,0.99720746,3.336954,0.6299674,9.88228,5.4478784,753.15405
7.5293646,0.4681159,0.20845273,2.2290795,0.08050099,20.538408,45.48854,0.9965166,3.3963945,0.70331216,10.270839,5.8867464,926.2946
7.9539924,0.36026686,0.4085206,2.851398,0.06468425,38.84382,135.91718,0.99516296,3.200272,0.7079861,10.79011,5.8939333,909.6697
8.034885,0.5008265,0.2683129,2.3167045,0.0873457,28.992369,86.96703,0.99707866,3.3004847,0.5963264,9.820788,5.364519,910.5013
9.492319,0.36984974,0.42655906,2.4667437,0.08200943,14.352645,36.670464,0.9973276,3.263859,0.8393636,10.850168,6.43948,759.8284
6.8981996,0.466148,0.18794908,2.3063045,0.07668467,16.967348,37.22485,0.99485314,3.3573935,0.63234,11.2109165,6.014862,1272.2874
7.4955173,0.7643114,0.06869574,2.284872,0.08067727,7.1283984,20.18488,0.9963136,3.3797724,0.5353617,10.196512,5.013285,972.6975
7.6970773,0.6772338,0.11941931,2.2390115,0.08196986,9.675707,29.630703,0.9968858,3.3603067,0.5920758,9.895385,5.2326503,541.98737
